sku,category_1_name,category_2_name,category_3_name,category_4_name,category_5_name,collection_real_launch_date_date,product_first_order_date,descricao_cor,familia_cor_nome
3769_40130843_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-11-09,2015-11-17,PRETO,PRETO
3769_40130843_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-11-09,2015-11-16,PRETO,PRETO
3769_40130843_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-11-09,2015-11-15,PRETO,PRETO
3769_83_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-11-09,2015-11-12,VINHO,VERMELHO
3775_233_0_M,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-11-09,INDIGO ESCURO,AZUL
3775_239_0_GG,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-11-09,INDIGO CLARO,AZUL
3775_239_0_M,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-11-09,INDIGO CLARO,AZUL
3777_233_0_G,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-05,INDIGO ESCURO,AZUL
3777_233_0_GG,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-04,INDIGO ESCURO,AZUL
3777_233_0_M,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-06,INDIGO ESCURO,AZUL
3777_233_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-10,INDIGO ESCURO,AZUL
3777_239_0_GG,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-04,INDIGO CLARO,AZUL
3777_239_0_M,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-03,INDIGO CLARO,AZUL
3777_239_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-11-09,2015-12-04,INDIGO CLARO,AZUL
3781_1000058_0_M,Feminino,Moda,Roupas,Blusas,Blusas,2015-11-09,2015-11-09,OFF-WHITE,BRANCO
3781_40130843_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-11-09,2015-11-13,PRETO,PRETO
3781_40130843_0_M,Feminino,Moda,Roupas,Blusas,Blusas,2015-11-09,2015-11-09,PRETO,PRETO
3785_233_0_GG,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-29,INDIGO ESCURO,AZUL
3785_233_0_M,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-09,INDIGO ESCURO,AZUL
3785_233_0_P,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-17,INDIGO ESCURO,AZUL
3785_239_0_G,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-18,INDIGO CLARO,AZUL
3785_239_0_M,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-09,INDIGO CLARO,AZUL
3785_239_0_PP,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-17,INDIGO CLARO,AZUL
3789_1000030_0_36,Feminino,Moda,Roupas,Shorts,,2015-11-09,2015-11-14,AZUL,AZUL
3789_1000030_0_42,Feminino,Moda,Roupas,Shorts,,2015-11-09,2015-11-15,AZUL,AZUL
3793_233_0_44,Feminino,Moda,Roupas,Calças,Cropped,2015-11-09,2015-11-09,INDIGO ESCURO,AZUL
3795_239_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-11-09,2015-11-09,INDIGO CLARO,AZUL
3795_239_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-11-09,2015-11-09,INDIGO CLARO,AZUL
3795_239_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,2015-11-09,2015-11-09,INDIGO CLARO,AZUL
3799_1000032_0_G,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-21,MARINHO,AZUL
3799_1000032_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-21,MARINHO,AZUL
3799_1000038_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-21,CINZA,CINZA
379_1000030_0_42,Feminino,Moda,Roupas,Saias,Midi,2015-05-04,2015-06-10,AZUL,AZUL
379_1000096_0_40,Feminino,Moda,Roupas,Saias,Midi,2015-05-04,2015-05-14,AZUL ESCURO,AZUL
3801_179_0_P,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-30,AURA,VERDE
3801_191_0_P,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-31,FLOW,ROXO
3805_181_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-06-15,ARABESQUE,VINHO
3805_181_0_P,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-21,ARABESQUE,VINHO
3807_1000054_0_G,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-11-09,2015-12-08,CARAMELO,MARROM
3807_1000094_0_G,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-11-09,2015-11-19,AZUL CLARO,AZUL
3807_1000094_0_M,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-11-09,2015-11-24,AZUL CLARO,AZUL
3809_187_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-21,CLIMB,BEGE
3809_189_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-31,FIERCE,LARANJA
3809_189_0_P,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-22,FIERCE,LARANJA
3809_191_0_G,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-23,FLOW,ROXO
3809_191_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-06-19,FLOW,ROXO
3809_191_0_P,Feminino,Moda,Active,Leggings,,2016-03-21,2016-05-31,FLOW,ROXO
3809_199_0_G,Feminino,Moda,Active,Leggings,,2016-03-21,2016-04-04,VELOCITY,CINZA
3811_1000094_0_G,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-11-09,2015-11-23,AZUL CLARO,AZUL
3811_233_0_M,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-11-09,2015-11-20,INDIGO ESCURO,AZUL
3811_233_0_P,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-11-09,2015-11-19,INDIGO ESCURO,AZUL
3813_181_0_G,Feminino,Moda,Active,Tops,,2016-03-21,2016-04-08,ARABESQUE,VINHO
3813_183_0_G,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-27,BREEZE MARINHO,AZUL
3813_195_0_M,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,KRIYA,ROXO
3815_1000030_0_40,Feminino,Moda,Roupas,Macacão,Macacão,2015-11-09,2015-11-30,AZUL,AZUL
3815_1000030_0_44,Feminino,Moda,Roupas,Macacão,Macacão,2015-11-09,2015-11-29,AZUL,AZUL
3819_1000094_0_44,Feminino,Moda,Roupas,Blazers,,2015-11-09,2015-11-24,AZUL CLARO,AZUL
3825_1000028_0_G,Feminino,Moda,Active,Regatas & Camisetas,,2016-03-21,2016-04-19,VERDE,VERDE
3825_1000034_0_P,Feminino,Moda,Active,Regatas & Camisetas,,2016-03-21,2016-04-13,ROXO,ROXO
3829_1000084_0_G,Feminino,Moda,Active,Regatas & Camisetas,,2016-03-21,2016-03-24,ROSE,ROSA
3829_1000084_0_P,Feminino,Moda,Active,Regatas & Camisetas,,2016-03-21,2016-03-22,ROSE,ROSA
3831_1000058_0_G,Feminino,Moda,Active,Regatas & Camisetas,,2016-03-21,2016-03-23,OFF-WHITE,BRANCO
3837_193_0_M,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-23,FOCUS,AMARELO
2195_73_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-16,CHAINS PRETA,PRETO
2197_1000024_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-15,VERMELHO,VERMELHO
2197_1000032_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-09,MARINHO,AZUL
2197_1000036_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-04,CORAL,LARANJA
2197_173_0_40,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-10-25,PALHA,BEGE
2197_40130843_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-02,PRETO,PRETO
2199_1000024_0_38,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,VERMELHO,VERMELHO
2199_1000024_0_44,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-04,VERMELHO,VERMELHO
2199_1000032_0_44,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,MARINHO,AZUL
2199_1000058_0_42,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2201_1000020_0_40,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-13,AMARELO,AMARELO
2201_1000020_0_42,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-02,AMARELO,AMARELO
2201_1000058_0_36,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2203_1000058_0_36,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2203_1000058_0_38,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2203_1000058_0_40,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2205_40130843_0_38,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-15,PRETO,PRETO
2205_77_0_38,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-16,SICILIA,VERMELHO
2209_1000032_0_38,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-03,MARINHO,AZUL
2211_1000058_0_40,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2211_40130843_0_38,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-02,PRETO,PRETO
2211_40130843_0_40,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-04,PRETO,PRETO
2213_71_0_G,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2015-09-02,2015-10-16,RIVIERA,VERDE
2213_71_0_M,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2015-09-02,2015-11-24,RIVIERA,VERDE
2219_1000032_0_40,Feminino,Moda,Roupas,Blazers,,2015-09-02,2015-09-15,MARINHO,AZUL
2219_1000032_0_44,Feminino,Moda,Roupas,Blazers,,2015-09-02,2015-09-15,MARINHO,AZUL
2221_1000010_0_36,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2015-09-02,2015-09-11,CREME,BEGE
2225_1000096_0_M,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-24,AZUL ESCURO,AZUL
2231_40130843_0_42,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-23,PRETO,PRETO
2233_1000058_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2233_40130843_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-03,PRETO,PRETO
2233_71_0_GG,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-20,RIVIERA,VERDE
2233_71_0_P,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-18,RIVIERA,VERDE
2241_1000024_0_M,Feminino,Moda,Roupas,Suéters & Cardigãs,Cardigãs,2015-09-02,2015-09-07,VERMELHO,VERMELHO
2253_1000032_0_P,Feminino,Moda,Roupas,Suéters & Cardigãs,Suéters,2015-09-02,2015-09-02,MARINHO,AZUL
2257_1000032_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,MARINHO,AZUL
2263_1000020_0_G,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-11-21,AMARELO,AMARELO
2263_1000020_0_M,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-11-23,AMARELO,AMARELO
2263_1000058_0_P,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2263_31_0_G,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-11-27,MARSALA,VERMELHO
2263_40130847_0_M,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-11-22,BRANCO,BRANCO
2263_40130847_0_P,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-11-17,BRANCO,BRANCO
2269_40130843_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-02,PRETO,PRETO
2269_40130843_0_40,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,PRETO,PRETO
2271_71_0_36,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-23,RIVIERA,VERDE
2271_71_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-09,RIVIERA,VERDE
2273_1000032_0_36,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-10-07,MARINHO,AZUL
2273_1000032_0_40,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-10-04,MARINHO,AZUL
2273_1000058_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-11-24,OFF-WHITE,BRANCO
2275_1000058_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-13,OFF-WHITE,BRANCO
2275_1000058_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-15,OFF-WHITE,BRANCO
2275_40130843_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-07,PRETO,PRETO
2277_1000024_0_42,Feminino,Moda,Roupas,Macacão,Macaquinho,2015-09-02,2015-09-18,VERMELHO,VERMELHO
2277_40130843_0_40,Feminino,Moda,Roupas,Macacão,Macaquinho,2015-09-02,2015-09-17,PRETO,PRETO
2283_63_0_42,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-09,CAPRI,AZUL
2283_75_0_44,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-07,CHAINS VERMELHA,VERMELHO
2285_63_0_G,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-11,CAPRI,AZUL
2285_67_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-15,MEDITERRÃ?NEO,AZUL
2285_71_0_G,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-25,RIVIERA,VERDE
2287_1000030_0_38,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,AZUL,AZUL
2287_1000058_0_42,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2287_1000058_0_44,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2287_65_0_42,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,PEIXES,AZUL
2287_65_0_44,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,PEIXES,AZUL
2291_63_0_36,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-03,CAPRI,AZUL
3837_40130843_0_M,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,PRETO,PRETO
3839_183_0_P,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,BREEZE MARINHO,AZUL
3839_185_0_G,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-23,BREEZE ROSE,ROSA
3839_193_0_M,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,FOCUS,AMARELO
3839_199_0_P,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,VELOCITY,CINZA
3843_1000032_0_M,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,MARINHO,AZUL
3845_40130847_0_G,Feminino,Moda,Active,Tops,,2016-03-21,2016-03-21,BRANCO,BRANCO
3851_183_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-24,BREEZE MARINHO,AZUL
3853_193_0_M,Feminino,Moda,Active,Leggings,,2016-03-21,2016-03-22,FOCUS,AMARELO
3855_185_0_G,Feminino,Moda,Active,Leggings,,2016-03-21,2016-04-07,BREEZE ROSE,ROSA
3859_183_0_G,Feminino,Moda,Active,Shorts,,2016-03-21,2016-03-26,BREEZE MARINHO,AZUL
3859_183_0_M,Feminino,Moda,Active,Shorts,,2016-03-21,2016-04-01,BREEZE MARINHO,AZUL
3859_193_0_G,Feminino,Moda,Active,Shorts,,2016-03-21,2016-04-15,FOCUS,AMARELO
3859_193_0_P,Feminino,Moda,Active,Shorts,,2016-03-21,2016-04-04,FOCUS,AMARELO
3859_199_0_G,Feminino,Moda,Active,Shorts,,2016-03-21,2016-03-30,VELOCITY,CINZA
3863_1000032_0_G,Feminino,Moda,Active,Shorts,,2016-03-21,2016-03-29,MARINHO,AZUL
387_1000010_0_G,Feminino,Moda,Roupas,Suéters & Cardigãs,Tricôs,2015-05-04,2015-06-03,CREME,BEGE
3899_1000022_0_U,Feminino,Acessórios,Cabelo,,,2015-10-05,2015-10-05,LARANJA,LARANJA
3903_40130845_0_U,Feminino,Acessórios,Bijoux,Brincos,,2015-10-05,2015-10-05,PRATA,PRATEADO
3927_1000032_0_P,Feminino,Moda,Praia,Tops,,2015-10-01,2015-10-22,MARINHO,AZUL
3927_40130847_0_M,Feminino,Moda,Praia,Tops,,2015-10-01,2015-10-23,BRANCO,BRANCO
3927_40130847_0_P,Feminino,Moda,Praia,Tops,,2015-10-01,2015-10-19,BRANCO,BRANCO
3933_1000030_0_G,Feminino,Moda,Praia,Saídas de Praia,,2015-10-01,2015-11-29,AZUL,AZUL
3933_1000030_0_P,Feminino,Moda,Praia,Saídas de Praia,,2015-10-01,2015-12-11,AZUL,AZUL
3933_1000058_0_G,Feminino,Moda,Praia,Saídas de Praia,,2015-10-01,2016-01-11,OFF-WHITE,BRANCO
3935_245_0_M,Feminino,Moda,Roupas,Blusas,Camisetas,2015-11-09,2015-11-09,CONSTELLATION MAP,BRANCO
393_40130843_0_36,Feminino,Moda,Roupas,Vestidos,Curto,1969-12-31,2015-08-15,PRETO,PRETO
3945_40130843_0_U,Feminino,Acessórios,Cintos,,,2015-10-05,2015-10-27,PRETO,PRETO
4001_1000058_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-04,OFF-WHITE,BRANCO
4001_1000058_0_PP,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-07,OFF-WHITE,BRANCO
4001_40130843_0_M,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-02,PRETO,PRETO
4005_1000058_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,2015-12-02,2015-12-02,OFF-WHITE,BRANCO
4019_257_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-12-02,2015-12-11,MARRAKECH,ROXO
4019_259_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-12-02,2015-12-10,PAISLEY GIPSY AZUL,AZUL
4019_259_0_P,Feminino,Moda,Roupas,Blusas,Regatas,2015-12-02,2015-12-09,PAISLEY GIPSY AZUL,AZUL
4019_261_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-12-02,2015-12-17,PAISLEY GIPSY CORAL,LARANJA
4019_261_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-12-02,2015-12-10,PAISLEY GIPSY CORAL,LARANJA
4021_40130843_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-02,PRETO,PRETO
4023_255_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-11,LOULOU,ROXO
4023_257_0_PP,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-08,MARRAKECH,ROXO
4023_261_0_M,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-08,PAISLEY GIPSY CORAL,LARANJA
4023_263_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-23,PATCHWORK AZUL,AZUL
4025_1000058_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2015-12-07,OFF-WHITE,BRANCO
4027_1000036_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2016-02-21,CORAL,LARANJA
4027_1000058_0_M,Feminino,Moda,Roupas,Blusas,Blusas,2015-12-02,2016-01-07,OFF-WHITE,BRANCO
4029_261_0_38,Feminino,Moda,Roupas,Calças,Reta,2015-12-02,2016-01-04,PAISLEY GIPSY CORAL,LARANJA
4029_261_0_42,Feminino,Moda,Roupas,Calças,Reta,2015-12-02,2016-01-03,PAISLEY GIPSY CORAL,LARANJA
4031_1000032_0_38,Feminino,Moda,Roupas,Calças,Skinny,2015-12-02,2016-01-03,MARINHO,AZUL
4031_1000032_0_40,Feminino,Moda,Roupas,Calças,Skinny,2015-12-02,2016-02-03,MARINHO,AZUL
4031_1000032_0_42,Feminino,Moda,Roupas,Calças,Skinny,2015-12-02,2015-12-22,MARINHO,AZUL
4031_1000046_0_42,Feminino,Moda,Roupas,Calças,Skinny,2015-12-02,2016-01-07,NUDE,ROSA
4033_1000054_0_42,Feminino,Moda,Roupas,Calças,Reta,2015-12-02,2016-01-13,CARAMELO,MARROM
4035_1000046_0_40,Feminino,Moda,Roupas,Calças,Reta,2015-12-02,2015-12-12,NUDE,ROSA
4035_1000046_0_42,Feminino,Moda,Roupas,Calças,Reta,2015-12-02,2015-12-05,NUDE,ROSA
4035_267_0_40,Feminino,Moda,Roupas,Calças,Reta,2015-12-02,2015-12-12,CINZA CLARO,CINZA
4037_257_0_36,Feminino,Moda,Roupas,Calças,Flare,2015-12-02,2015-12-09,MARRAKECH,ROXO
4037_257_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-12-02,2015-12-05,MARRAKECH,ROXO
4037_265_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-12-02,2015-12-05,PATCHWORK VERMELHO,VERMELHO
4037_265_0_40,Feminino,Moda,Roupas,Calças,Flare,2015-12-02,2015-12-11,PATCHWORK VERMELHO,VERMELHO
4039_40130843_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-12-02,2015-12-07,PRETO,PRETO
403_1000070_0_38,Feminino,Moda,Roupas,Calças,Reta,2015-05-04,2015-06-22,BURGUNDY,VERMELHO
4041_1000038_0_38,Feminino,Moda,Roupas,Calças,Pantalona,2015-12-02,2016-01-07,CINZA,CINZA
4041_1000038_0_40,Feminino,Moda,Roupas,Calças,Pantalona,2015-12-02,2016-01-16,CINZA,CINZA
4041_1000058_0_38,Feminino,Moda,Roupas,Calças,Pantalona,2015-12-02,2016-02-09,OFF-WHITE,BRANCO
4045_233_0_36,Feminino,Moda,Roupas,Calças,Skinny,2015-12-02,2015-12-05,INDIGO ESCURO,AZUL
4045_233_0_40,Feminino,Moda,Roupas,Calças,Skinny,2015-12-02,2015-12-02,INDIGO ESCURO,AZUL
2293_1000054_0_44,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-16,CARAMELO,MARROM
2295_1000054_0_36,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,CARAMELO,MARROM
2299_67_0_M,Feminino,Moda,Roupas,Macacão,Macacão,2015-09-02,2015-09-25,MEDITERRÃ?NEO,AZUL
2303_1000096_0_42,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-02,AZUL ESCURO,AZUL
2305_73_0_M,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2015-09-02,2015-10-02,CHAINS PRETA,PRETO
2311_1000020_0_36,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-17,AMARELO,AMARELO
2311_1000020_0_38,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-16,AMARELO,AMARELO
2311_1000020_0_42,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-30,AMARELO,AMARELO
2311_1000044_0_42,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2016-04-21,SALMÃ?O,ROSA
2311_40130843_0_38,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-11-24,PRETO,PRETO
2313_1000020_0_M,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-09-02,2015-09-30,AMARELO,AMARELO
2313_1000020_0_P,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,2015-09-02,2015-09-02,AMARELO,AMARELO
2317_1000058_0_M,Feminino,Moda,Roupas,Suéters & Cardigãs,,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2317_1000058_0_P,Feminino,Moda,Roupas,Suéters & Cardigãs,,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2323_1000030_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,AZUL,AZUL
2363_1000032_0_M,Feminino,Moda,Roupas,Jaquetas & Casacos,Jaquetas,1969-12-31,2015-11-24,MARINHO,AZUL
2389_40130843_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,2015-09-02,2015-09-02,PRETO,PRETO
2497_1000030_0_G,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-11-30,AZUL,AZUL
2497_115_0_G,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-11-18,COBRA CLASSY AZUL,AZUL
2497_125_0_P,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-10-23,ONCA CLASSIC,BEGE
2497_40130847_0_G,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-11-11,BRANCO,BRANCO
2497_40130847_0_P,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-10-23,BRANCO,BRANCO
2497_87_0_G,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-10-16,ARABESCO POWER VERMELHO,VERMELHO
2497_93_0_G,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-10-26,BUBBLES,AZUL
2499_95_0_G,Feminino,Moda,Praia,Calcinhas,Lacinho,2015-10-01,2015-12-14,CHEVRON NAVY,AZUL
2499_95_0_M,Feminino,Moda,Praia,Calcinhas,Lacinho,2015-10-01,2015-10-13,CHEVRON NAVY,AZUL
2501_1000020_0_M,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-11-01,AMARELO,AMARELO
2501_1000030_0_P,Feminino,Moda,Praia,Calcinhas,Slip,2015-10-01,2015-11-05,AZUL,AZUL
2503_87_0_M,Feminino,Moda,Praia,Calcinhas,,2015-10-01,2015-10-19,ARABESCO POWER VERMELHO,VERMELHO
2503_87_0_P,Feminino,Moda,Praia,Calcinhas,,2015-10-01,2015-10-30,ARABESCO POWER VERMELHO,VERMELHO
2507_107_0_G,Feminino,Moda,Praia,Calcinhas,Hot Pants,2015-10-01,2015-10-05,SIMETRIA PB,PRETO
2507_119_0_M,Feminino,Moda,Praia,Calcinhas,Hot Pants,2015-10-01,2015-10-03,FLORESTA,VERDE
2507_123_0_M,Feminino,Moda,Praia,Calcinhas,Hot Pants,2015-10-01,2015-10-01,MAR OMBRE,AZUL
2507_99_0_M,Feminino,Moda,Praia,Calcinhas,Hot Pants,2015-10-01,2015-10-02,BALI INDIGO,AZUL
2507_99_0_P,Feminino,Moda,Praia,Calcinhas,Hot Pants,2015-10-01,2015-10-02,BALI INDIGO,AZUL
2509_40130847_0_G,Feminino,Moda,Praia,Calcinhas,,2015-10-01,2015-09-28,BRANCO,BRANCO
2511_1000022_0_M,Feminino,Moda,Praia,Calcinhas,Lacinho,2015-10-01,2015-11-07,LARANJA,LARANJA
